SOPR,date,Active_MVRV,Price,buy_score,sell_score
0.9798608355,2020-01-03,0.7896228192,7243.8570833333,0.0,0.14445932449471083
0.9638651978,2020-01-04,0.7992934572,7333.2854166667,0.0,0.14354357172596324
0.9947550901,2020-01-05,0.8105881941,7439.7245833333,0.0,0.14722821263684802
1.0003187578,2020-01-06,0.8220634088,7549.8770833333,0.0,0.14849548246374233
0.9836656802,2020-01-07,0.8629633431,7931.7933333333,0.0,0.1495133739594261
1.0206043872,2020-01-08,0.8952989051,8236.8816666667,0.0,0.15512340559976387
1.0737510418,2020-01-09,0.8573307936,7892.6941666667,0.0,0.15779287954343746
1.007488524,2020-01-10,0.85742328,7896.50125,0.0,0.1514438895583321
0.9954821528,2020-01-11,0.8805558502,8113.3183333333,0.0,0.1517714377772112
1.0232565494,2020-01-12,0.8804643191,8117.0029166667,0.0,0.15442928761933344
1.027701865,2020-01-13,0.8789251895,8107.9504166667,0.0,0.15475720861434764
0.9986080798,2020-01-14,0.9282466227,8585.5320833333,0.0,0.1551204169778389
1.0290275947,2020-01-15,0.9443669459,8745.4675,0.0,0.1590684781011822
1.0396162192,2020-01-16,0.9365462464,8679.7079166667,0.0,0.15958395039165446
1.0124137621,2020-01-17,0.9536655419,8849.2404166667,0.0,0.15806965027116873
1.0305072325,2020-01-18,0.9575959285,8891.1225,0.0,0.16005619926880138
1.0269470291,2020-01-19,0.9528195542,8849.8083333333,0.0,0.15940937286806606
1.0216233525,2020-01-20,0.9306845667,8645.8375,0.0,0.1574835694116739
1.0134788588,2020-01-21,0.9307630913,8650.98875,0.0,0.15670749277389032
1.0080503403,2020-01-22,0.9328337451,8674.2695833333,0.0,0.15631926162371695
1.0316338314,2020-01-23,0.9076361345,8441.0091666667,0.0,0.15696998474794202
1.0348286612,2020-01-24,0.9022904803,8394.4970833333,0.0,0.15693460160878492
1.0201811095,2020-01-25,0.8950608821,8328.0354166667,0.0,0.15506759278561202
1.0011755973,2020-01-26,0.9074443041,8447.9433333333,0.0,0.15403662443302796
1.0057924158,2020-01-27,0.9375497744,8735.8708333333,0.0,0.1564042425208758
1.0150079136,2020-01-28,0.9704509933,9052.4525,0.0,0.15939164745043494
1.0956413589,2020-01-29,0.9986634399,9335.3041666667,0.0,0.1689286025400314
1.068091805,2020-01-30,1.0016042667,9377.9841666667,0.0,0.1664744905937468
1.064897994,2020-01-31,0.9959664587,9343.5245833333,0.0,0.16580772586783143
1.0234216156,2020-02-01,0.9990908185,9378.02625,0.0,0.16202969703853237
1.0002533085,2020-02-02,0.9998444803,9386.1595833333,0.0,0.15985592837196083
1.0286159714,2020-02-03,0.9943574231,9337.0366666667,0.0,0.16222522409947093
1.0286173065,2020-02-04,0.9814406891,9208.9454166667,0.0,0.16139949968286205
1.0214252043,2020-02-05,1.0020507328,9411.8458333333,0.0,0.16202747826799432
1.0443508987,2020-02-06,1.0292382319,9693.0195833333,0.0,0.16596444287888357
1.1582860164,2020-02-07,1.0353310117,9772.1020833333,0.0,0.17728093611256018
1.0459163395,2020-02-08,1.0387339711,9812.0333333333,0.0,0.1667217019718622
1.0519088938,2020-02-09,1.0652726768,10075.2158333333,0.0,0.16899321301546855
1.1323823249,2020-02-10,1.044997609,9907.6083333333,0.0,0.17541469362106263
